latitude,longitude,number_of_bikes,station_name,restaurant_name,categories,address,review_count,rating,distance
43.314553575496504,11.331021341104474,10,S. agostino,Compagnia dei vinattieri,Tuscan,"Via delle terme, 79",24.0,4.3,636.0952648988349
43.314553575496504,11.331021341104474,10,S. agostino,Taverna di cecco,Tuscan,Via cecco angliolieri 19,52.0,4.5,610.0620909245414
43.314553575496504,11.331021341104474,10,S. agostino,Osteria permalico,"Desserts, wine bars, italian",Via costa larga 4,5.0,4.6,225.6070924441927
43.314553575496504,11.331021341104474,10,S. agostino,La taverna di san giuseppe,"Tuscan restaurant, mediterranean restaurant",Via giovanni duprè 132,,,109.0
43.314553575496504,11.331021341104474,10,S. agostino,Osteria castelvecchio,"Pizzeria, trattoria, tuscan restaurant",Via castelvecchio 65,,,102.0
43.314553575496504,11.331021341104474,10,S. agostino,Osteria da cice,Italian restaurant,Via san pietro 32,,,149.0
43.314553575496504,11.331021341104474,10,S. agostino,4 cantoni bar caffetteria,Café,Piazza postierla 5,,,221.0
43.314553575496504,11.331021341104474,10,S. agostino,Gino cacino,Food and beverage retail,Piazza del mercato 31,,,352.0
43.314553575496504,11.331021341104474,10,S. agostino,Grotta gallo nero,Italian restaurant,Via porrione 65,,,448.0
43.314553575496504,11.331021341104474,10,S. agostino,Gallo nero,Italian restaurant,Via del porrione 65,,,458.0
43.314553575496504,11.331021341104474,10,S. agostino,Caffè fiorella,Café,Via di città 13,,,468.0
43.314553575496504,11.331021341104474,10,S. agostino,La prosciutteria,"Bar, italian restaurant, tapas restaurant",Via di pantaneto 89,,,507.0
43.314553575496504,11.331021341104474,10,S. agostino,Zest ristorante & winebar,"Wine bar, cafe, coffee, and tea house, italian restaurant",Costa di sant'antonio 13,,,643.0
43.31653903296188,11.337211648409948,7,S. girolamo,La taverna di san giuseppe,Tuscan,Via giovanni dupre 132,169.0,4.8,461.20096407182047
43.31653903296188,11.337211648409948,7,S. girolamo,La prosciutteria,"Wine bars, tuscan",Via di pantaneto,34.0,4.7,222.5376273877203
43.31653903296188,11.337211648409948,7,S. girolamo,Antica trattoria papei,"Tuscan, trattorie",Via del mercato 6,35.0,4.2,429.7383012418058
43.31653903296188,11.337211648409948,7,S. girolamo,Gallo nero,Tuscan,Via del porrione 65,11.0,4.4,277.35628275338746
43.31653903296188,11.337211648409948,7,S. girolamo,Il bargello,"Bars, trattorie, tuscan",Via di citta' 53,23.0,4.5,545.8638202332528
43.31653903296188,11.337211648409948,7,S. girolamo,Osteria la sosta di violante,Tuscan,Via di pantaneto 115,25.0,4.6,123.36406670033232
43.31653903296188,11.337211648409948,7,S. girolamo,Zest,"Italian, wine bars",Costa di sant'antonio 13,26.0,4.7,784.9978948398616
43.31653903296188,11.337211648409948,7,S. girolamo,Bio & chocolate,"Cafes, desserts, vegan",Via pantaneto 75,6.0,4.8,246.2712721802299
43.31653903296188,11.337211648409948,7,S. girolamo,Antica osteria da divo,Italian,Via franciosa 25,67.0,4.2,762.0858176320125
43.31653903296188,11.337211648409948,7,S. girolamo,Ri.me.,Tuscan,Via giovanni duprè 90,15.0,4.3,447.0056201412074
43.31653903296188,11.337211648409948,7,S. girolamo,Taverna di cecco,Tuscan,Via cecco angliolieri 19,52.0,4.5,573.9060734249756
43.31653903296188,11.337211648409948,7,S. girolamo,Vi vace,"Pizza, italian",Via stalloreggi 64,34.0,4.3,741.5985604750571
43.31653903296188,11.337211648409948,7,S. girolamo,Numero unico,Italian,Via di citta 125,17.0,4.5,571.4223858193872
43.31653903296188,11.337211648409948,7,S. girolamo,Compagnia dei vinattieri,Tuscan,"Via delle terme, 79",24.0,4.3,706.039017982908
43.31653903296188,11.337211648409948,7,S. girolamo,Osteria babazuf,Pizza,"Via di pantaneto, 85",12.0,4.7,226.61489290855485
43.31653903296188,11.337211648409948,7,S. girolamo,Osteria le logge,Italian,Via del porrione 33,33.0,4.1,399.0541747992876
43.31653903296188,11.337211648409948,7,S. girolamo,La chiacchiera,Italian,Via costa di san antonio 4,23.0,4.3,781.2253871865912
43.31653903296188,11.337211648409948,7,S. girolamo,Spadaforte,Pizza,Piazza del campo 13,11.0,4.3,510.8926641727967
